150;1;;I have instructed Homeland Security to check people coming into our country VERY CAREFULLY. The courts are making the job very difficult!;status;10343;17-02-01
151;1;Regis Philbin: Trump Doing 'Quite Well' and Getting 'Things Done';Regis Philbin: Trump Doing ‘Quite Well’ and Getting ‘Things Done’;link;5512;17-02-01
152;1;Timeline Photos;Don't miss Bill O’Reilly’s interview with me  tomorrow at 4p ET during the #SuperBowl   pregame show on FOX.;photo;2994;17-02-01
153;1;;MAKE AMERICA GREAT AGAIN!;status;17007;17-02-01
154;1;;When a country is no longer able to say who can, and who cannot , come in & out, especially for reasons of safety & security - big trouble!;status;20696;17-02-01
155;1;After Trump attack, Lockheed Martin slashes F-35 cost;After Trump attack, Lockheed Martin slashes F-35 cost';link;6003;17-02-01
156;1;Patriots owner on Trump: ‘In the toughest time in my life, he was there for me’;‪Patriots owner on Trump: ‘In the toughest time in my life, he was there for me’;link;10549;17-02-01
158;1;;Countries charge U.S. companies taxes or tariffs while the U.S. charges them nothing or little. We should charge them SAME as they charge us!;status;10094;17-02-01
"159;1;;""We must keep """"evil"""" out of our country!"";status;23455;17-02-01"
160;1;Timeline Photos;Another BUSY day at the White House today. THANK YOU for your continued support!;photo;5736;17-02-01
161;1;President Donald J. Trump;;video;3;17-02-01
162;1;Remarks by President Trump at Signing of Executive Order on Fiduciary Rule;Remarks by President Trump at Signing of Executive Order on Fiduciary Rule:;link;1378;17-02-01
163;1;President Donald J. Trump Proclaims February as American Heart Month;President Donald J. Trump Proclaims February as American Heart❤️Month:;link;3652;17-02-01
164;1;Timeline Photos;Congratulations to Rex! He will be an outstanding Secretary of State!;photo;4718;17-02-01
165;1;;Meeting with biggest business leaders this morning. Good jobs are coming back to U.S., health care and tax bills are being crafted NOW!;status;7180;17-02-01
166;1;;A new radical Islamic terrorist has just attacked in Louvre Museum in Paris. Tourists were locked down. France on edge again. GET SMART U.S.;status;26241;17-02-01
167;1;;Professional anarchists, thugs and paid protesters are proving the point of the millions of people who voted to MAKE AMERICA GREAT AGAIN!;status;16609;17-02-01
168;1;Trump taps CIA veteran for agency's second in command;‪'Trump taps first woman to CIA second in command'‬;link;6199;17-02-01
169;1;;If U.C. Berkeley does not allow free speech and practices violence on innocent people with a different point of view - NO FEDERAL FUNDS?;status;13500;17-02-01
170;1;;Attending Chief Ryan Owens' Dignified Transfer yesterday with my daughter Ivanka was my great honor. To a great and brave man - thank you!;status;3250;17-02-01
171;1;Kuwait issues its own Trump-esque visa ban for five Muslim-majority countries;Smart! ⬇️ 'Kuwait issues its own Trump-esque visa ban for five Muslim-majority countries | Al Bawaba';link;67989;17-02-01
172;1;;Iran was on its last legs and ready to collapse until the U.S. came along and gave it a life-line in the form of the Iran Deal: $150 billion. Iran has been formally PUT ON NOTICE for firing a ballistic missile.Should have been thankful for the terrible deal the U.S. made with them!;status;8849;17-02-01
173;1;Timeline Photos;As president I have no higher duty than to protect the American people. -DJT;photo;27055;17-02-01
174;1;;Do you believe it? The Obama Administration agreed to take thousands of illegal immigrants from Australia. Why? I will study this dumb deal!;status;13329;17-02-01
175;1;;Iran is rapidly taking over more and more of Iraq even after the U.S. has squandered three trillion dollars there. Obvious long ago!;status;3543;17-02-01
176;1;President Donald J. Trump;;video;7;17-02-01
177;1;;Statement by the National Security Advisor Recent Iranian actions, including a provocative ballistic missile launch and an attack against a Saudi naval vessel conducted by Iran-supported Houthi militants, underscore what should have been clear to the international community all along about Iran’s destabilizing behavior across the Middle East. The recent ballistic missile launch is also in defiance of UN Security Council Resolution 2231, which calls upon Iran “not to undertake any activity related to ballistic missiles designed to be capable of delivering nuclear weapons, including launches using such ballistic missile technology. These are just the latest of a series of incidents in the past six months in which Houthi forces that Iran has trained and armed have struck Emirati and Saudi vessels, and threatened U.S. and allied vessels transiting the Red Sea.  In these and other similar activities, Iran continues to threaten U.S. friends and allies in the region. The Obama Administration failed to respond adequately to Tehran’s malign actions—including weapons transfers, support for terrorism, and other violations of international norms.  The Trump Administration condemns such actions by Iran that undermine security, prosperity, and stability throughout and beyond the Middle East and place American lives at risk. President Trump has severely criticized the various agreements reached between Iran and the Obama Administration, as well as the United Nations – as being weak and ineffective. Instead of being thankful to the United States for these agreements, Iran is now feeling emboldened.  As of today, we are officially putting Iran on notice.;status;18778;17-02-01
178;1;Timeline Photos;‪Moment of prayer last night after my nomination of Judge Neil Gorsuch for #SCOTUS. It was an honor having Maureen and Fr. Scalia join us.‬;photo;77160;17-02-01
179;1;Timeline Photos;Proud to honor the start of Black History Month at The White House this morning with Vice President Mike Pence.;photo;8914;17-02-01
180;1;Fox Business;#ICYMI: Yesterday, Vice President Mike Pence swore in Elaine Chao as U.S. Secretary of Transportation.;video;2;17-02-01
181;1;Timeline Photos;Hope you like my nomination of Judge Neil Gorsuch for the United States Supreme Court. He is a good and brilliant man, respected by all.;photo;4454;17-02-01
